config,prior,tv,entropy,score,profile_rmse,global_corr,blr_corr,radial_corr,amp_chi2,phase_chi2,variant,variant_label
baseline,0.1,0.045,0.01,0.486925763824851,0.4318675526167296,0.8445806643116429,0.7247089439593931,0.9403353658805222,0.9223727368112762,0.5956444520198102,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0_e0,0.0,0.0,0.0,0.4616084861022497,0.4090201751857144,0.8488320293660384,0.7370584454173235,0.9412409294045174,0.9208432994203939,0.5958905925748043,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0_e0p005,0.0,0.0,0.005,0.47456465203814985,0.420265324748483,0.8456448625778954,0.7285033635516658,0.9410172348607801,0.9224415377889152,0.5952662552883409,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p01_e0,0.0,0.01,0.0,0.4725804821128877,0.4188486972809218,0.8465815321495282,0.7313410758401704,0.9409285259100114,0.9214854849399775,0.5959012974277654,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p01_e0p005,0.0,0.01,0.005,0.47475384108627217,0.4207517752319736,0.8460316026197032,0.7299896707285071,0.9407262688431556,0.9217805480492973,0.5954021769883844,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p03_e0,0.0,0.03,0.0,0.463292059969236,0.4114559508334372,0.8499926515804301,0.740819454321006,0.941089609518086,0.9201787942272392,0.595846033830185,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p03_e0p005,0.0,0.03,0.005,0.4651698461183439,0.41281950067741,0.8497031664686118,0.7382482727953308,0.9415366889294043,0.920974076548428,0.594601211308734,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p06_e0,0.0,0.06,0.0,0.4660114786370551,0.4131742491181582,0.8491402151575723,0.7358138524055154,0.9413093476612823,0.9244251681370286,0.5949035362379597,broad_plume_irregular_blr,broad plume + irregular BLR
p0_tv0p06_e0p005,0.0,0.06,0.005,0.46191599329109345,0.4090833472815451,0.8486846318591578,0.7358367699522582,0.9410266049074003,0.9211449558374258,0.5961696991232079,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0_e0,0.03,0.0,0.0,0.47181839991022173,0.417850912536763,0.8458621330538132,0.7301625631327063,0.9406423502839516,0.92107834704312,0.5960001129332803,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0_e0p005,0.03,0.0,0.005,0.457198156740125,0.40602574607922426,0.8519739712473269,0.7441379466954964,0.9418981027654888,0.9204532083423758,0.5956665751607738,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p01_e0,0.03,0.01,0.0,0.4707866869680447,0.4173997168364969,0.8478096715787063,0.7330651493422611,0.9402367345431677,0.9229583031582261,0.5950180716641572,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p01_e0p005,0.03,0.01,0.005,0.47540123028670456,0.4215849923690415,0.8468871111358501,0.7309188104116847,0.9410942756387991,0.9197103959882774,0.5961975945946496,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p03_e0,0.03,0.03,0.0,0.475142332673545,0.42107237630553646,0.8460164869762371,0.7296502181599572,0.9403082190719216,0.9216150618955432,0.5959038936107521,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p03_e0p005,0.03,0.03,0.005,0.47095601220023053,0.4171476365219824,0.846185018275608,0.7309581216087592,0.9404434306493692,0.9235357995476938,0.5951383859213977,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p06_e0,0.03,0.06,0.0,0.4675226191012761,0.4136763637002207,0.8461685749768026,0.730768722994723,0.9405628497354974,0.9214400352905577,0.5959031701423922,broad_plume_irregular_blr,broad plume + irregular BLR
p0p03_tv0p06_e0p005,0.03,0.06,0.005,0.479638154758493,0.4250933842448227,0.8458044735331544,0.7272761474316485,0.9411734815192975,0.92115406619479,0.5958894730611373,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0_e0,0.08,0.0,0.0,0.4752695772937742,0.4207605295479123,0.8449238404661792,0.7274547612706904,0.9403263929852519,0.921868559285067,0.5958814391118158,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0_e0p005,0.08,0.0,0.005,0.4646120688511195,0.41172967507555197,0.8489040447584894,0.7355880311221625,0.9406881627547505,0.923996094793146,0.5940311840858612,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0p01_e0,0.08,0.01,0.0,0.463405363441008,0.4105981752753831,0.8483235928035912,0.7359640591718756,0.9409711345159698,0.9195515937639037,0.5969302593312449,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0p01_e0p005,0.08,0.01,0.005,0.4764763829644208,0.42196103838167004,0.8452464422987097,0.7274232770862463,0.9405645994970973,0.9241592484628799,0.5949756103751014,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0p03_e0,0.08,0.03,0.0,0.4664469079225656,0.41358509767236284,0.8477731688537166,0.7356909487489861,0.940411463325582,0.9222585953284603,0.5956549362142717,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0p03_e0p005,0.08,0.03,0.005,0.4755754078409739,0.42117045382463864,0.8453828163171251,0.7279752299183236,0.9404948510243071,0.9217026124557032,0.5958761830855173,broad_plume_irregular_blr,broad plume + irregular BLR
p0p08_tv0p06_e0,0.08,0.06,0.0,0.47217454304517703,0.4184684929922309,0.8469806973033923,0.7314697497352691,0.94024796766877,0.9227775184845515,0.5956655724563793,broad_plume_irregular_blr,broad plume + irregular BLR
