eval,tag,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct,gamma_vector
0,scalar_start,-0.002397059311909534,1.0085372571995892,1.147678881679093,0.9160992885841672,0.9917549699554374,0.986368325894285,1.0768808168140585,0.04278378838400856,"0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
1,coord_w0.08_i0,-0.0026375689520533353,1.0085372571995892,1.1412857323440804,0.9160992885841678,0.9867996874832639,0.9850573165765834,1.0768808168140596,0.0452410950859224,"0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
2,coord_w0.08_i0,-0.002400172916012422,1.0085372571995874,1.1509233743490506,0.9160992885841667,0.9942686680220773,0.9935398091198435,1.0768808168140585,0.04268880226224766,"0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
3,coord_w0.08_i1,-0.002708691408975278,1.0084537715144495,1.142332467813364,0.9160992885841672,0.9878047067065638,0.9850915750524067,1.0768808168140587,0.04580522116324764,"0.15,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
4,coord_w0.08_i1,-0.0023888664218398013,1.0085767103335714,1.1504212779032545,0.916099288584167,0.9937804491800785,0.9947281877360559,1.0768808168140585,0.04261998679663772,"0.15,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
5,coord_w0.08_i2,-0.0029906884898835483,1.00845455969997,1.1461989142171194,0.9160992885841674,0.990270169541731,0.9945144216667177,1.0768808168140585,0.04807886581968438,"0.15,0.23,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
6,coord_w0.08_i2,-0.0021903667269873254,1.008644849617097,1.1529689588034548,0.9160992885841672,0.9958981056543171,0.9948502122745757,1.0768808168140591,0.04064819414909203,"0.15,0.23,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
7,coord_w0.08_i3,-0.002680448908066993,1.0086448496170977,1.1463858873257828,0.9160992885841686,0.9909628824856502,0.9947825588279552,1.0768808168140591,0.04538432564341041,"0.15,0.23,0.23,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
8,coord_w0.08_i3,-0.002176586243619183,1.0086448496170979,1.15677073187581,0.916099288584167,0.9987443532860472,1.0054667073752892,1.0768808168140596,0.040435230573743715,"0.15,0.23,0.23,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
9,coord_w0.08_i4,-0.002424337355967464,1.0079586696231542,1.1495435502811913,0.9160992885841676,0.9932755391027287,0.9948912894313258,1.0768808168140593,0.04295803291057448,"0.15,0.23,0.23,0.23,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
10,coord_w0.08_i4,-0.002302082221059009,1.008926709803275,1.160537514451674,0.9160992885841674,1.0015782043780332,1.0079198049801903,1.0768808168140596,0.04145768208828267,"0.15,0.23,0.23,0.23,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
11,coord_w0.08_i5,-0.0021333804464567304,1.0020714919201754,1.1560655543828258,0.916099288584168,0.9980333144047636,1.0054667073752888,1.0768808168140596,0.04007558248979935,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
