loop,loop_class,snr_gain_edge_uniform_vs_edge,snr_ratio_edge_uniform_vs_direct_optimized,snr_gain_direct_balanced_10loop_vs_edge,snr_ratio_direct_balanced_10loop_vs_direct_optimized,snr_gain_direct_optimized_schedule_vs_edge,snr_ratio_direct_optimized_schedule_vs_direct_optimized,snr_gain_current_near_vs_edge,snr_ratio_current_near_vs_direct_optimized,snr_gain_remote_star_independent_vs_edge,snr_ratio_remote_star_independent_vs_direct_optimized,rms_upgraded_smallblock_rad,snr_gain_upgraded_smallblock_vs_edge,snr_ratio_upgraded_smallblock_vs_direct_optimized
S1-S2-S3,core_only,1.0,0.7834249581606614,1.4908328893349319,1.167955693951757,1.276446441466222,1.0,1.3657509493176092,1.0699633803270314,1.3657509493176099,1.069963380327032,0.004682499086875296,1.2646159050269217,0.990731662485023
S1-S2-S4,one_remote,1.0,0.8242994220064591,1.3473392410056977,1.110610957607618,1.2131514026369947,1.0,1.181304047384807,0.9737482434731873,1.3490093305210167,1.1119876114297946,0.009723512414945776,1.2124014438494193,0.9993818094048729
S1-S2-S5,one_remote,1.0,0.8178761658096743,1.3601577532322338,1.1124406081098805,1.222678984672488,1.0,1.192557731191296,0.9753645446934215,1.3592209414466818,1.111674412078628,0.01945655384883599,1.2239425597896123,1.0010334479720062
S1-S3-S4,one_remote,1.0,0.8250802780102268,1.2039383804406019,0.9933458136411141,1.2120032761074009,1.0,1.0558595155346364,0.8711688626170613,1.2031681999947001,0.9927103529446913,0.011890217874013979,1.1988937992596083,0.9891836291978546
S1-S3-S6,one_remote,1.0,0.801972584456389,1.2064228849444476,0.9675180789862315,1.2469254178780218,1.0,1.0578450001768323,0.8483626887460836,1.20660274967282,0.9676623255672968,0.03785614280821434,1.2253845233355294,0.9827247931322548
S2-S4-S5,two_remote,1.0,0.8180441174390899,1.0497018062655907,0.8587023876807538,1.2224279579572408,1.0,1.0009684777808607,0.8188363749905936,1.026364027893767,0.8396110553695861,0.02899286596104053,1.231108301594099,1.0071009040494816
S2-S5-S6,two_remote,1.0,0.7777966304874444,0.9819833818578994,0.7637833656037395,1.2856831217863478,1.0,1.0001184552907072,0.7778887646134198,1.0000612560361464,0.7778442752259561,0.08317150902415656,1.2838961152997292,0.9986100723760488
S3-S4-S6,two_remote,1.0,0.8256150621240048,1.035493992283949,0.8549194367685463,1.2112182127920084,1.0,1.0011220387198492,0.8265414341913986,1.0342902252892583,0.8539255886064417,0.046165375027567276,1.1892874896183623,0.9818936646245658
S3-S5-S6,two_remote,1.0,0.7128936484234242,0.995032369241438,0.7093522560079325,1.4027337769266373,1.0,1.000485698399533,0.7132398997275007,1.0001271980653736,0.7129843271163208,0.07722002026832057,1.3847567145943234,0.9871842664459816
S4-S5-S6,two_remote,1.0,0.7332452174857221,0.9547422760195636,0.7000602078227782,1.363800235109576,1.0,1.0281436420468617,0.7538814084192136,1.028143642046862,0.7538814084192138,0.08457209498947774,1.3289761530364574,0.9744654083665556
