module,loop,stations,q0,q1,q2,q_total,beta,delta
S1+S2|S3,S1-S2-S3,"S1,S2,S3",0.06278319205553771,0.08622633992735981,0.06158474437305617,0.21059427635595368,0.7853981633974483,2.441592653589794
S1+S3|S2,S1-S2-S3,"S1,S3,S2",8.74186381571219e-14,8.574993255495354e-14,5.962034140147998e-14,2.3278891211355543e-13,0.7853981633974483,0.0
S2+S3|S1,S1-S2-S3,"S2,S3,S1",5.962034140147998e-14,8.574993255495354e-14,8.74186381571219e-14,2.3278891211355543e-13,0.7853981633974483,0.0
S1+S2|S4,S1-S2-S4,"S1,S2,S4",8.74186381571219e-14,5.962034140147998e-14,1.337151526636444e-13,2.8075413222224625e-13,0.7853981633974483,0.0
S1+S4|S2,S1-S2-S4,"S1,S4,S2",8.74186381571219e-14,1.337151526636444e-13,5.962034140147998e-14,2.8075413222224625e-13,0.7853981633974483,0.0
S2+S4|S1,S1-S2-S4,"S2,S4,S1",5.962034140147998e-14,1.337151526636444e-13,8.74186381571219e-14,2.8075413222224625e-13,0.7853981633974483,0.0
S1+S2|S5,S1-S2-S5,"S1,S2,S5",0.017110415903294464,0.023499419027163643,0.02327058429755421,0.06388041922801233,0.7853981633974483,2.441592653589794
S1+S5|S2,S1-S2-S5,"S1,S5,S2",8.74186381571219e-14,1.1889148691125679e-13,5.962034140147998e-14,2.659304664698587e-13,0.7853981633974483,0.0
S2+S5|S1,S1-S2-S5,"S2,S5,S1",5.962034140147998e-14,1.1889148691125679e-13,8.74186381571219e-14,2.6593046646985864e-13,0.7853981633974483,0.0
S1+S3|S4,S1-S3-S4,"S1,S3,S4",8.74186381571219e-14,8.574993255495354e-14,1.337151526636444e-13,3.0688372337571983e-13,0.7853981633974483,0.0
S1+S4|S3,S1-S3-S4,"S1,S4,S3",8.74186381571219e-14,1.337151526636444e-13,8.574993255495354e-14,3.0688372337571983e-13,0.7853981633974483,0.0
S3+S4|S1,S1-S3-S4,"S3,S4,S1",8.574993255495354e-14,1.337151526636444e-13,8.74186381571219e-14,3.0688372337571983e-13,0.7853981633974483,0.0
S1+S3|S6,S1-S3-S6,"S1,S3,S6",8.74186381571219e-14,8.574993255495354e-14,1.4082110870773667e-13,3.139896794198121e-13,0.7853981633974483,0.0
S1+S6|S3,S1-S3-S6,"S1,S6,S3",8.74186381571219e-14,1.4082110870773667e-13,8.574993255495354e-14,3.139896794198121e-13,0.7853981633974483,0.0
S3+S6|S1,S1-S3-S6,"S3,S6,S1",8.574993255495354e-14,1.4082110870773667e-13,8.74186381571219e-14,3.1398967941981213e-13,0.7853981633974483,0.0
S2+S4|S5,S2-S4-S5,"S2,S4,S5",5.962034140147998e-14,1.337151526636444e-13,1.1889148691125679e-13,3.122269809763812e-13,0.7853981633974483,0.0
S2+S5|S4,S2-S4-S5,"S2,S5,S4",5.962034140147998e-14,1.1889148691125679e-13,1.337151526636444e-13,3.122269809763812e-13,0.7853981633974483,0.0
S4+S5|S2,S2-S4-S5,"S4,S5,S2",1.337151526636444e-13,1.1889148691125679e-13,5.962034140147998e-14,3.122269809763812e-13,0.7853981633974483,0.0
S2+S5|S6,S2-S5-S6,"S2,S5,S6",5.962034140147998e-14,1.1889148691125679e-13,1.4082110870773667e-13,3.1933293702047344e-13,0.7853981633974483,0.0
S2+S6|S5,S2-S5-S6,"S2,S6,S5",5.962034140147998e-14,1.4082110870773667e-13,1.1889148691125679e-13,3.1933293702047344e-13,0.7853981633974483,0.0
S5+S6|S2,S2-S5-S6,"S5,S6,S2",1.1889148691125679e-13,1.4082110870773667e-13,5.962034140147998e-14,3.1933293702047344e-13,0.7853981633974483,0.0
S3+S4|S6,S3-S4-S6,"S3,S4,S6",8.574993255495354e-14,1.337151526636444e-13,1.4082110870773667e-13,3.6028619392633457e-13,0.7853981633974483,0.0
S3+S6|S4,S3-S4-S6,"S3,S6,S4",8.574993255495354e-14,1.4082110870773667e-13,1.337151526636444e-13,3.602861939263346e-13,0.7853981633974483,0.0
S4+S6|S3,S3-S4-S6,"S4,S6,S3",1.337151526636444e-13,1.4082110870773667e-13,8.574993255495354e-14,3.6028619392633457e-13,0.7853981633974483,0.0
S3+S5|S6,S3-S5-S6,"S3,S5,S6",8.574993255495354e-14,1.1889148691125679e-13,1.4082110870773667e-13,3.45462528173947e-13,0.7853981633974483,0.0
S3+S6|S5,S3-S5-S6,"S3,S6,S5",8.574993255495354e-14,1.4082110870773667e-13,1.1889148691125679e-13,3.45462528173947e-13,0.7853981633974483,0.0
S5+S6|S3,S3-S5-S6,"S5,S6,S3",1.1889148691125679e-13,1.4082110870773667e-13,8.574993255495354e-14,3.45462528173947e-13,0.7853981633974483,0.0
S4+S5|S6,S4-S5-S6,"S4,S5,S6",1.337151526636444e-13,1.1889148691125679e-13,1.4082110870773667e-13,3.9342774828263783e-13,0.7853981633974483,0.0
S4+S6|S5,S4-S5-S6,"S4,S6,S5",1.337151526636444e-13,1.4082110870773667e-13,1.1889148691125679e-13,3.9342774828263783e-13,0.7853981633974483,0.0
S5+S6|S4,S4-S5-S6,"S5,S6,S4",1.1889148691125679e-13,1.4082110870773667e-13,1.337151526636444e-13,3.934277482826379e-13,0.7853981633974483,0.0
