loop,loop_class,gain_direct_optimized_vs_edge,gain_old_remote_star_independent_vs_edge,gain_paircombine_strict_near_vs_edge,ratio_paircombine_near_to_direct_snr,log_ratio_paircombine_near_to_direct,rms_paircombine_strict_near_rad
S1-S2-S3,core_only,1.276446441466222,1.3657509493176099,1.2712244704681848,0.9959089775893467,-0.0040994135361764,0.004658156728493165
S1-S2-S4,one_remote,1.2131514026369947,1.3490093305210167,1.2143323935236612,1.000973490105274,0.0009730165710771518,0.009708050739682676
S1-S2-S5,one_remote,1.222678984672488,1.3592209414466818,1.2085367852503972,0.9884334321605447,-0.011633980914683296,0.0197045754941541
S1-S3-S4,one_remote,1.2120032761074009,1.2031681999947001,1.2015203879039207,0.9913507756867224,-0.008686845942913909,0.011864225213747292
S1-S3-S6,one_remote,1.2469254178780218,1.20660274967282,1.2534733559827798,1.0052512668447333,0.005237527022985778,0.037007832108242066
S2-S4-S5,two_remote,1.2224279579572408,1.026364027893767,1.2075265704550597,0.9878100076121603,-0.012264899713974577,0.029559066313705074
S2-S5-S6,two_remote,1.2856831217863478,1.0000612560361464,1.2753814081568369,0.9919873618507198,-0.008044911848258566,0.08372677903001038
S3-S4-S6,two_remote,1.2112182127920084,1.0342902252892583,1.2037363228032356,0.9938228389321145,-0.006196318661086251,0.04561123722342005
S3-S5-S6,two_remote,1.4027337769266373,1.0001271980653736,1.3912313830590968,0.9918000164701659,-0.008233788320765812,0.07686064508733444
S4-S5-S6,two_remote,1.363800235109576,1.028143642046862,1.367783949179132,1.0029210392893326,0.0029167813438032647,0.08217255182794242
