loop,old_3port_direct_gain_vs_edge,new_generalized_3port_direct_gain_vs_edge,new_over_old_snr
S1-S2-S3,1.276446441466222,1.8438963837921354,1.4445544473249483
S1-S2-S4,1.2131514026369947,1.639367555611584,1.3513297285467707
S1-S2-S5,1.222678984672488,1.6543170700988483,1.3530265023259402
S1-S3-S4,1.2120032761074009,1.5857739927596013,1.3083908468074792
S1-S3-S6,1.2469254178780218,1.59042154157835,1.2754744740747037
S2-S4-S5,1.2224279579572408,1.5812111188439868,1.2935004541996051
S2-S5-S6,1.2856831217863478,1.6281005981346972,1.2663311593237603
S3-S4-S6,1.2112182127920084,1.5846601036269397,1.3083192499013876
S3-S5-S6,1.4027337769266373,1.701178208199028,1.2127591394614285
S4-S5-S6,1.363800235109576,1.7182217898129009,1.2598779099600672
