loop,loop_class,omega_l,rms_edge_rad,rms_rawdirect_global_schur_rad,rms_rawdirect_per_sample_schur_rad,rms_near_coreedge_rad,snr_gain_rawdirect_vs_edge,snr_gain_rawdirect_per_sample_vs_edge,snr_gain_near_coreedge_vs_edge,snr_ratio_near_over_rawdirect
S1-S2-S3,core,0.2,5.476972642617972e-05,3.3356843125174444e-05,3.345404716696794e-05,4.591693217158319e-05,1.6419337471670077,1.6371629463193496,1.192800211946113,0.7264606224241205
S1-S2-S4,one remote,0.2,0.00011856834062431568,6.72058534103979e-05,6.741912272812885e-05,0.00010018861259430942,1.7642561563837107,1.7586752219017852,1.1834512681039981,0.6707933333954073
S1-S2-S5,one remote,0.2,0.00022745197512373554,0.00014202043696485303,0.0001420663638568437,0.00021166431385767617,1.6015439748296576,1.6010262313247667,1.0745882051552396,0.6709701525801277
S1-S3-S4,one remote,0.2,0.00013824028157651103,8.395801356288536e-05,8.494326282095443e-05,0.00012515888257849997,1.6465406422814866,1.6274425656087335,1.104518342833609,0.6708114664592557
S1-S3-S6,one remote,0.2,0.0004444878096500576,0.0003028116431566182,0.00030289085265637475,0.00044418150638437213,1.467868953176819,1.4674850882813635,1.0006895903167576,0.6817295155340852
S2-S4-S5,two remote,0.2,0.0003511576859176406,0.00022920888201296232,0.0002305069409676605,0.0003416713551920115,1.5320422264342348,1.5234148023634007,1.0277644894179028,0.6708460587342834
S2-S5-S6,two remote,0.2,0.001225788275791963,0.0007365995206676201,0.0007404536758859311,0.0010977689124159588,1.6641176669256648,1.6554557235810106,1.1166177707603875,0.6709968849878608
S3-S4-S6,two remote,0.2,0.000521740656450147,0.00033350174638151995,0.0003342461481834687,0.0004971009447947763,1.564431557288714,1.560947401445482,1.0495668171895007,0.6708934068093618
S3-S5-S6,two remote,0.2,0.001228199960050869,0.000709785750959909,0.0007136426032514239,0.00104854482494186,1.7303812571467663,1.721029482341823,1.171337582176299,0.6769245663858628
S4-S5-S6,two remote,0.2,0.0012718529526189854,0.0007519778302226421,0.0007563980635722363,0.0010790766001310646,1.6913436826221608,1.6814598210529699,1.1786493678618424,0.6968715938528431
