loop,old_local_schur_opt_gain_vs_edge,rawje_samecost_opt_gain_vs_edge,raw_opt_over_old_local_snr
S1-S2-S3,1.276446441466222,1.8791149540359813,1.4721455542447117
S1-S2-S4,1.2131514026369947,1.5934631274440247,1.3134907349407143
S1-S2-S5,1.222678984672488,1.7249646666765823,1.410807487738606
S1-S3-S4,1.2120032761074009,1.5883848555624343,1.3105450182146872
S1-S3-S6,1.2469254178780218,1.5900917049101295,1.2752099541094424
S2-S4-S5,1.2224279579572408,1.5918693962881567,1.302219395364842
S2-S5-S6,1.2856831217863478,1.5957396575440779,1.2411609287729723
S3-S4-S6,1.2112182127920084,1.5890836712630036,1.3119714139700462
S3-S5-S6,1.4027337769266373,1.664153446165407,1.1863644217732714
S4-S5-S6,1.363800235109576,1.6677563150094128,1.2228743419122634
