analysis_type,metric,key,label,minuend,subtrahend,n_seed,mean,sample_std,sem,bootstrap_ci95_lower,bootstrap_ci95_upper,min,max
strategy,blr_corr,edge_uniform,Uniform edge-first,,,12,0.6863622897642722,0.025474311078941388,0.007353800179423538,0.6730472428253951,0.7007172522572933,0.6495582694376079,0.7396372523193568
strategy,blr_corr,optimal_singlecopy,Optimal single-copy POVM,,,12,0.7259868740113228,0.024597220134229762,0.007100605832907019,0.7130352908665764,0.7397741081774211,0.6800225244298305,0.7799907114765995
strategy,blr_corr,promoted_singlecopy,Induced joint POVM (n_s=3),,,12,0.8096854665702233,0.013297340213869692,0.0038386114759918514,0.8023247028453415,0.8166210752254472,0.7859827261788379,0.8295063943511712
paired_difference,blr_corr,optimal_minus_edge,optimal single-copy minus uniform edge-first,optimal_singlecopy,edge_uniform,12,0.03962458424705059,0.024819219229342892,0.007164691451568728,0.026772561876688142,0.053499735040661224,0.002347807046798156,0.0867395098120538
paired_difference,blr_corr,promoted_minus_single,joint POVM minus optimal single-copy,promoted_singlecopy,optimal_singlecopy,12,0.0836985925589006,0.024048924117193806,0.006942326406391364,0.07083629090671906,0.09679995367941109,0.0478629486838732,0.12644010527615257
paired_difference,blr_corr,promoted_minus_edge,joint POVM minus uniform edge-first,promoted_singlecopy,edge_uniform,12,0.12332317680595122,0.020899266972360834,0.006033098706179191,0.11206499021201481,0.1348452248982538,0.0898691420318144,0.16276385978927999
strategy,global_corr,edge_uniform,Uniform edge-first,,,12,0.9052404400837806,0.011314453791542915,0.003266201471140442,0.89920120746273,0.9114257949322431,0.8874225063194405,0.9229414185689093
strategy,global_corr,optimal_singlecopy,Optimal single-copy POVM,,,12,0.9135682506582201,0.00978609467559154,0.0028250021976339696,0.9081381427881976,0.9187182607524534,0.8966962122647675,0.9241818575229657
strategy,global_corr,promoted_singlecopy,Induced joint POVM (n_s=3),,,12,0.9380322584658893,0.0073576334584761465,0.0021239658289249003,0.9338867185048934,0.9417762640916806,0.923567672721823,0.9462857213251452
paired_difference,global_corr,optimal_minus_edge,optimal single-copy minus uniform edge-first,optimal_singlecopy,edge_uniform,12,0.008327810574439626,0.016734803148432516,0.004830921551291455,-0.0007163799463644668,0.01736148353136645,-0.02248822601786038,0.03638663324008484
paired_difference,global_corr,promoted_minus_single,joint POVM minus optimal single-copy,promoted_singlecopy,optimal_singlecopy,12,0.024464007807669285,0.01393163257529463,0.004021715908798657,0.017103492197050194,0.03214632305806716,0.002484687550943221,0.04654398028233531
paired_difference,global_corr,promoted_minus_edge,joint POVM minus uniform edge-first,promoted_singlecopy,edge_uniform,12,0.03279181838210891,0.012935167705285725,0.003734061278329834,0.02580918793464415,0.03978241039886004,0.012949473700434866,0.05329672464933888
