outcome,terminal_a,terminal_b,copy_sector,probability,score_norm,fisher_trace_contribution
1,1,1,symmetric,0.016217346463241758,1.3034914451291291,0.027554730351221354
2,1,2,symmetric,0.15142769297976982,0.39067548972970406,0.02311200572070856
3,1,3,symmetric,0.13094421263568001,0.38325030567086887,0.019233190287860177
4,1,4,symmetric,0.016217334345099893,1.3034920991911567,0.027554737414054498
5,2,1,symmetric,0.092877206721848446,0.54641841414618963,0.027730633980908987
6,2,2,symmetric,0.092877159773323795,0.54641852458869955,0.027730631173212804
7,2,3,symmetric,0.016217340371060578,1.3034917739479306,0.02755473390196873
8,2,4,symmetric,0.092877206868817994,0.54641841213604692,0.027730633820761387
9,3,1,symmetric,0.092877159403803311,0.54641852379354161,0.027730630982175677
10,3,2,symmetric,0.016217340437354275,1.3034917703698004,0.027554733863330346
11,3,3,antisymmetric,0.05069576647580161,0.71200503306114005,0.025700277982159493
12,3,4,antisymmetric,0.050695765579722482,0.71200503414699201,0.025700277606280183
13,4,1,antisymmetric,0.05069568412806541,0.71200513284831179,0.025700243439631155
14,4,2,antisymmetric,0.039233467944563005,0.73551329527421883,0.021224513937193452
15,4,3,antisymmetric,0.050695847927355736,0.71200493436016909,0.025700312148759365
16,4,4,antisymmetric,0.039233467944491666,0.73551329527589693,0.021224513937251711
